Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City
750-67-8428,A,Normal,Male,Health and beauty,74.69,7,26.141499999999997,548.9714999999999,2019-01-05,13:08:00,Ewallet,9.1,Yangon
226-31-3081,C,Normal,Male,Electronic accessories,15.28,5,3.82,80.21999999999998,2019-03-08,10:29:00,Cash,9.6,Naypyitaw
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.215500000000002,340.5255,2019-03-03,13:23:00,Credit card,7.4,Yangon
123-19-1176,A,Normal,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,08:30:00,Ewallet,8.4,Yangon
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.208500000000004,634.3785,2019-02-08,10:37:00,Ewallet,5.3,Yangon
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,4.1,Naypyitaw
355-53-5943,A,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36:00,Ewallet,5.8,Yangon
315-22-5665,C,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,8.0,Naypyitaw
665-32-9167,A,Normal,Male,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15:00,Credit card,7.2,Yangon
692-92-5582,B,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27:00,Credit card,5.9,Mandalay
351-62-0822,B,Normal,Male,Fashion accessories,14.48,4,2.8960000000000004,60.816,2019-02-06,18:07:00,Ewallet,4.5,Mandalay
529-56-3974,B,Normal,Male,Electronic accessories,25.51,4,5.102,107.14200000000001,2019-03-09,17:03:00,Cash,6.8,Mandalay
365-64-0515,A,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,7.1,Yangon
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,8.2,Yangon
829-34-3910,A,Normal,Male,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,5.7,Yangon
299-46-1805,B,Normal,Male,Sports and travel,93.72,6,28.116,590.4359999999999,2019-01-15,16:19:00,Cash,4.5,Mandalay
656-95-9349,A,Normal,Male,Health and beauty,68.93,7,24.125500000000002,506.63550000000004,2019-03-11,11:03:00,Credit card,4.6,Yangon
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,6.9,Yangon
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,8.6,Yangon
319-50-3348,B,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,4.4,Mandalay
300-71-4605,C,Normal,Male,Electronic accessories,86.04,5,21.510000000000005,451.71000000000004,2019-02-25,11:24:00,Ewallet,4.8,Naypyitaw
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197000000000001,277.137,2019-03-05,10:40:00,Ewallet,5.1,Mandalay
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.3200000000000003,69.72,2019-03-15,12:20:00,Credit card,4.4,Mandalay
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,9.9,Yangon
549-59-1358,A,Normal,Male,Sports and travel,88.63,3,13.2945,279.18449999999996,2019-03-02,17:36:00,Ewallet,6.0,Yangon
227-03-5010,A,Normal,Male,Home and lifestyle,52.59,8,21.036,441.75600000000003,2019-03-22,19:20:00,Credit card,8.5,Yangon
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.6760000000000002,35.196000000000005,2019-02-08,15:31:00,Cash,6.7,Mandalay
189-17-4241,A,Normal,Male,Fashion accessories,87.67,2,8.767000000000001,184.107,2019-03-10,12:17:00,Credit card,7.7,Yangon
145-94-9061,B,Normal,Male,Food and beverages,88.36,5,22.090000000000003,463.89,2019-01-25,19:48:00,Cash,9.6,Mandalay
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36:00,Cash,7.4,Yangon
871-79-8483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39:00,Credit card,4.8,Mandalay
149-71-6266,B,Normal,Male,Sports and travel,78.07,9,35.131499999999996,737.7614999999998,2019-01-28,12:43:00,Cash,4.5,Mandalay
640-49-2076,B,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49:00,Cash,5.1,Mandalay
595-11-5460,A,Normal,Male,Health and beauty,96.58,2,9.658000000000001,202.81799999999998,2019-03-15,10:12:00,Credit card,5.1,Yangon
183-56-6882,C,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,7.5,Naypyitaw
232-16-2483,C,Normal,Male,Sports and travel,68.12,1,3.4060000000000006,71.52600000000001,2019-01-07,12:28:00,Ewallet,6.8,Naypyitaw
129-29-8530,A,Normal,Male,Sports and travel,62.62,5,15.655,328.75499999999994,2019-03-10,19:15:00,Ewallet,7.0,Yangon
272-65-1806,A,Normal,Male,Electronic accessories,60.88,9,27.396000000000004,575.316,2019-01-15,17:17:00,Ewallet,4.7,Yangon
333-73-7901,C,Normal,Male,Health and beauty,54.92,8,21.968000000000004,461.32800000000003,2019-03-23,13:24:00,Ewallet,7.6,Naypyitaw
777-82-7220,B,Normal,Male,Home and lifestyle,30.12,8,12.048000000000002,253.008,2019-03-03,13:01:00,Cash,7.7,Mandalay
280-35-5823,B,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45:00,Ewallet,7.9,Mandalay
554-53-8700,C,Normal,Male,Home and lifestyle,56.11,2,5.611000000000001,117.831,2019-02-02,10:11:00,Cash,6.3,Naypyitaw
354-25-5821,B,Normal,Male,Sports and travel,69.12,6,20.736000000000004,435.456,2019-02-08,13:03:00,Cash,5.6,Mandalay
228-96-1411,C,Normal,Male,Food and beverages,98.7,8,39.480000000000004,829.08,2019-03-04,20:39:00,Cash,7.6,Naypyitaw
617-15-4209,C,Normal,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,7.2,Naypyitaw
132-32-9879,B,Normal,Male,Electronic accessories,93.96,4,18.791999999999998,394.63199999999995,2019-03-09,18:00:00,Cash,9.5,Mandalay
